K1x   20 3
K1z   0 22
K1x   0 5
K1y   0 3
K1y   6 5
K1x   16 7
K1z   1 23
K1x   1 9
K1y   1 7
K1z   2 3
K1x   2 11
K1y   2 9
K1z   4 5
K1x   4 19
K1y   4 11
K1z   6 7
K1x   6 13
K1z   8 9
K1x   8 15
K1y   8 13
K1z   10 11
K1x   10 17
K1y   10 15
K1y   18 17
K1z   12 13
K1x   12 21
K1y   12 19
K1z   14 15
K1x   14 22
K1y   14 21
K1z   16 17
K1y   16 22
K1z   18 19
K1x   18 23
K1z   20 21
K1y   20 23
